[2021-08-23 16:05:46,775] [INFO] [flaskblog] [load_database:26] - no previous DB file found
[2021-08-23 17:25:48,099] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:25:48] "GET /account HTTP/1.1" 200 -
[2021-08-23 17:25:48,387] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:25:48] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-08-23 17:25:48,439] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:25:48] "[36mGET /static/profile_pics/default.jpg HTTP/1.1[0m" 304 -
[2021-08-23 17:26:01,866] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:01] "[32mPOST /account HTTP/1.1[0m" 302 -
[2021-08-23 17:26:01,875] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:01] "GET /account HTTP/1.1" 200 -
[2021-08-23 17:26:02,110] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:02] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-08-23 17:26:02,244] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:02] "GET /static/profile_pics/68d72386c497a55d.jpg HTTP/1.1" 200 -
[2021-08-23 17:26:09,677] [DEBUG] [flaskblog] [routes:21] - index without searching returned 19 posts
[2021-08-23 17:26:09,688] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:09] "GET / HTTP/1.1" 200 -
[2021-08-23 17:26:09,707] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:09] "[36mGET /static/main.css HTTP/1.1[0m" 304 -
[2021-08-23 17:26:09,928] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:09] "[36mGET /static/profile_pics/68d72386c497a55d.jpg HTTP/1.1[0m" 304 -
[2021-08-23 17:26:10,028] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:10] "[36mGET /static/profile_pics/default.jpg HTTP/1.1[0m" 304 -
[2021-08-23 17:26:10,029] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:10] "[36mGET /static/profile_pics/another_pic.jpeg HTTP/1.1[0m" 304 -
[2021-08-23 17:26:10,030] [INFO] [werkzeug] [_internal:225] - 127.0.0.1 - - [23/Aug/2021 17:26:10] "[36mGET /static/profile_pics/7798432669b8b3ac.jpg HTTP/1.1[0m" 304 -
